Fecha,Texto,Usuario,Localización,Longitud,Latitud
2020-06-06 14:04:38,"RT @Marysa191988: La derecha crea empleos precarios, la izquierda paro de calidad.",jorgitowaching2,"Springfield, MA",,
2020-06-06 14:04:40,Será que vou conseguir evita?,lisboa_adriene,"Mesquita, Brasil",,
2020-06-06 14:04:41,"100 lucas por mes, ganan. ¿Sacrificó solidario? El 70% son 70 lucas, casi el doble de un sueldo común. 
 Que sigue… https://t.co/gDQtoTgJYi",paganielias,Ciudad Autónoma de Rosario ,,
2020-06-06 14:04:41,@rosadiezglez @MARIANHONT Como sabe q va haber mucho paro quiere dejar a los suyos colocados. Espero q si hay cambi… https://t.co/R0yyw2wrrY,MaestreTo,madrid,,
2020-06-06 14:04:42,"RT @caiodojuramento: Paro pra pensar nas coisas, quando vou ver tô batendo neurose sozinho.. 🤦🏻‍♂️😅",nathimelloo22,,,
2020-06-06 14:04:42,"RT @elceo__: La iniciativa para aumentar los retiros por desempleo es una medida para no dar soluciones de fondo

https://t.co/2KEp2NybYn",Quantu_MX,Mexico City,,
2020-06-06 14:04:43,RT @maltescut1: Disminución d los precios en -0.32 certificado x @DANE_Colombia ratifica número d desempleados que son + d 10millón compatr…,SintrenalN,,,
2020-06-06 14:04:46,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",prensaportalnet,"Santiago, Chile ",,
2020-06-06 14:04:49,"RT @PasMartn: He leido “el contrainforme del 8M”, que ya es mérito, y no paro de partirme tol’ mondongo.
Claro que el 8M no es culpable de…",Alex72881,,,
2020-06-06 14:04:50,"@VanDerHagenCL Actualmente por la pandemia, los estudiantes de la Chile, tienen la opción de continuar sus estudios… https://t.co/ix4UtdCOIg",Guidotrade,Trade Import Santiago Chile,,
2020-06-06 14:04:51,RT @Profeta_Baruc: https://t.co/zOGlRcO2BH,putojotape,Sevilla,,
2020-06-06 14:04:52,"No paro de ver vídeos en tik tok de como cotillearle las redes el telelfpmo y todo a tu pareja, de como alejarle de… https://t.co/50MGjVqnH5",dreamm303,,,
2020-06-06 14:04:52,"Meu Deus que surto, se o Zach morrer eu paro de assistir na hora",badbwnny,Coachella 24-04 (S.I) ,,
2020-06-06 14:04:54,https://t.co/g8ucsXG6CO,estetalivan,"Alcoy, Alicante",,
2020-06-06 14:04:54,"RT @Aranciojelyfish: ※再掲
『绿谷总受哨兵向导PARO』 https://t.co/6cuPWprdsm",colonelfrostt,she/her | 17,,
2020-06-06 14:04:55,"RT @CristoBustos: No cerraron el aeropuerto a tiempo, no giran plata a los hospitales, no protegen nuestros médicos, desecharon la renta bá…",gcaro0813,,,
2020-06-06 14:04:56,"RT @Aranciojelyfish: ※再掲
『绿谷总受哨兵向导PARO』 https://t.co/6cuPWprdsm",christy25oo,,,
2020-06-06 14:05:00,@Reforma @RamirezClaudia_ Y los que faltan gober. Todo el aparato de estado en vez de hacer estrategia para el Covi… https://t.co/fVSKFjiWrM,RuddyMurrieta,,,
2020-06-06 14:05:00,"RT @F_Sanchez_Drago: Menos mal que Trump aguanta. El paro baja, la bolsa sube, la economía remonta, el virus retrocede, los ultras palidece…",oliveratom025,Planeta Tierra ,,
2020-06-06 14:05:01,"RT @CapitanApio: Juan Rallo es TT y me he acordado de tres de sus grandes éxitos:
1. Que los pobres puedan vender sus órganos. 
2. Pronósti…",Oryctes1,,,
2020-06-06 14:05:02,@PortalNoticiave No basta las disculpas queremos renuncia de todos y que sean manejado por tecnicos profesionales i… https://t.co/pzv2vLHvxl,stefany00111,,,
2020-06-06 14:05:03,Es verdad! Y si no... Qué datos padeces o gozas tú?,ivancarranza_,000000ppp,,
2020-06-06 14:05:05,RT @CorrientesHoy: Corrientes: Comenzó el pago de prestaciones por desempleo a trabajadores rurales https://t.co/Wjq8cfFYjR https://t.co/eb…,LilianaIgnazet1,,,
2020-06-06 14:05:05,"RT @jdaza121: @intiasprilla @migueldelrioabg No mas, vamos a hacer un paro serio, que entiendan que no puedo pasar por encima del pueblo, t…",luifer_ossa,,,
2020-06-06 14:05:06,"RT @TITORODRIGUEZZ: 🇺🇸 PARA QUIENES se pregunten, ¿por qué #Antifa y el #ForoTERRORISTADeSaoPaulo han implementado el #PlanDeAnarquíaComuni…",eugenioandress,,,
2020-06-06 14:05:06,"RT @maibortpetit: Virus Chino: EE.UU. crea 2.5 millones de empleos en mayo y tasa de desempleo baja a 13.3% a pesar de la pandemia. 

“En m…",lacmon,America Latina,,
2020-06-06 14:05:10,"sim, é isso mesmo, eu não paro de pensar em como where your eyes linger vai terminar",DoraWuxian,,,
2020-06-06 14:05:10,RT @the_raven77: En la anterior crisis me quedé en paro y después de un tiempo empecé en un nuevo trabajo radicalmente distinto al anterior…,ArraezMery,,,
2020-06-06 14:05:11,"RT @MexicoComoVamos: En este escenario de marcada y creciente debilidad de la economía, es que se empezó a sentir con fuerza el efecto de l…",Pandora6713,,,
2020-06-06 14:05:12,"La primer causa de trata de mujeres en nuestro país, es el desempleo. Ahora,no se que no sé que nos depara.",holawendia,,,
2020-06-06 14:05:18,"RT @erojotorrecilla: DATOS | Peluquerías, industria y construcción salen de los ERTE mientras bancos y medios de comunicación los amplían h…",pepehuisa,"Cádiz, Andalucía, España",,
2020-06-06 14:05:18,"@Pilichuna Cuando me muera, que me cuenten por Ouija los datos del paro",Energumenoreano,El Monte ,,
2020-06-06 14:05:21,RT @spitta1969: Kichi dijo que había 40 mil millones de estadounidenses desempleados?,Guillehm18,,,
2020-06-06 14:05:22,"RT @DonghyuksLover: En chile te MATAN por ser indígena.

Soy mujer, tengo 23 años y soy atacameña reconocida por la comunidad de Toconao; h…",elah_mari,"Atacama, Chile",,
2020-06-06 14:05:23,"RT @FrayJosepho: El turismo en la ruina, los autónomos desesperados, muchas empresas cerradas, subidas asfixiantes de impuestos, aumento br…",agusalc73,Alicante,,
2020-06-06 14:05:24,"RT @CristoBustos: No cerraron el aeropuerto a tiempo, no giran plata a los hospitales, no protegen nuestros médicos, desecharon la renta bá…",oslealdi13,,,
2020-06-06 14:05:24,"RT @Tiemposalvaje: Junio colas del hambre, ERTE sin cobrar,paro y pobreza ¿el votante del PSOE qué le contará a su familia?..",squiero3,el mundo,,
2020-06-06 14:05:24,RT @CrfMiraah: paro nunk? https://t.co/oNZDx2eBJ7,gregorio_isis,Jacarepaguá RJ,,
2020-06-06 14:05:25,RT @maltescut1: Disminución d los precios en -0.32 certificado x @DANE_Colombia ratifica número d desempleados que son + d 10millón compatr…,GERPASO13,,,
2020-06-06 14:05:25,Antes de noviembre Trump consigue de nuevo el pleno empleo.,CObtusus,,,
2020-06-06 14:05:27,"RT @albertoplaza: 👏👏👏👏👏
Sorpresiva baja de desempleo en EE.UU. inyecta fuerte optimismo a los mercados mundiales #Emol https://t.co/wC3oor7…",Horuhe101,,,
2020-06-06 14:05:27,"RT @JonathanHeath54: Si bien es cierto que habrá una contracción significativa en la actividad económica de México este año, el FMI proyect…",JoelVargasZempo,,,
2020-06-06 14:05:28,"RT @MariolaPR: WTF?!!
Apuñalan a una persona en fila de desempleo en Centro de Convenciones https://t.co/ARkSEsz2P3",DiegoMa17408704,,,
2020-06-06 14:05:28,"RT @oscarcerda56: Insólito, similar al paro de estudiantes de Arquitectura de la misma Universidad de Chile que señalaban tener sueño, acá…",b_chacana_p,"Santiago, Chile",,
2020-06-06 14:05:28,"As vezes eu paro pra pensar o tanto de jogador que o Cruzeiro vai  vender ainda, e o que vai ter de gente que não v… https://t.co/F5C4XFm0HG",apoiodocruzeiro,,,
2020-06-06 14:05:30,"RT @luisoliveros13: Mientras aquí estamos hablando de medios de pagos, escasez de gasolina y mendigando ayuda humanitaria, la economía de E…",julyrodriguezm,Venezuela ,,
2020-06-06 14:05:31,"@callodehacha @Claudiashein También son re jotos los demás, en vez de hacer paro corren",ElRolesIV,Ocotlan,,
2020-06-06 14:05:35,"No paro de ver vídeos en tik tok de como cotillearle las redes el teléfono y todo a tu pareja, de como alejarle de… https://t.co/SHjRd0wBZO",dreamm303,,,
2020-06-06 14:05:36,RT @spitta1969: Kichi dijo que había 40 mil millones de estadounidenses desempleados?,calcarlos50,"Buenos Aires, Argentina",,
2020-06-06 14:05:37,"RT @mmarquez0026: Estimado @jogecol , la culpa te la tienes que echar a ti mismo por seguir apoyando al chavismo. 

En donde quedan las fra…",bercardozo,merida,,
2020-06-06 14:05:40,RT @Antonio04103863: @CDBadajoz Vergonzoso Badajoz. Acabáis de perder dos abonados de 50 y 30 años de carnet respectivamente (jubilado y en…,JavierZH_AC1,,,
2020-06-06 14:05:41,"RT @jtgazmuri: Estamos presenciando el fin del capitalismo, tal como lo predijo el Frente Amplio y sus economistas",sorelycor,,,
